0.000,6.476e-01
0.010,6.421e-01
0.020,5.828e-01
0.030,5.510e-01
0.040,5.152e-01
0.050,4.218e-01
0.060,3.611e-01
0.070,2.674e-01
0.080,2.006e-01
0.090,1.263e-01
0.100,3.826e-02
0.110,-5.132e-02
0.120,-1.315e-01
0.130,-2.127e-01
0.140,-2.955e-01
0.150,-3.581e-01
0.160,-4.430e-01
0.170,-4.729e-01
0.180,-5.337e-01
0.190,-5.528e-01
0.200,-5.570e-01
0.210,-5.594e-01
0.220,-5.648e-01
0.230,-5.700e-01
0.240,-4.930e-01
0.250,-5.120e-01
0.260,-4.400e-01
0.270,-3.974e-01
0.280,-3.315e-01
0.290,-2.568e-01
0.300,-1.958e-01
0.310,-1.311e-01
0.320,-4.209e-02
0.330,3.215e-02
0.340,1.111e-01
0.350,1.824e-01
0.360,2.470e-01
0.370,3.096e-01
0.380,3.646e-01
0.390,3.886e-01
0.400,4.496e-01
0.410,5.000e-01
0.420,4.798e-01
0.430,4.950e-01
0.440,4.978e-01
0.450,4.916e-01
0.460,4.667e-01
0.470,4.488e-01
0.480,3.890e-01
0.490,3.497e-01
0.500,3.191e-01
0.510,2.542e-01
0.520,1.995e-01
0.530,1.181e-01
0.540,5.706e-02
0.550,-1.027e-02
0.560,-7.873e-02
0.570,-1.396e-01
0.580,-1.975e-01
0.590,-2.488e-01
0.600,-3.128e-01
0.610,-3.401e-01
0.620,-4.011e-01
0.630,-4.045e-01
0.640,-4.117e-01
0.650,-4.353e-01
0.660,-4.283e-01
0.670,-4.467e-01
0.680,-4.053e-01
0.690,-3.952e-01
0.700,-3.996e-01
0.710,-3.311e-01
0.720,-2.904e-01
0.730,-2.425e-01
0.740,-1.756e-01
0.750,-1.232e-01
0.760,-5.872e-02
0.770,3.716e-04
0.780,6.127e-02
0.790,1.130e-01
0.800,1.724e-01
0.810,2.196e-01
0.820,2.803e-01
0.830,3.103e-01
0.840,3.417e-01
0.850,3.563e-01
0.860,3.646e-01
0.870,4.095e-01
0.880,3.914e-01
0.890,4.186e-01
0.900,3.675e-01
0.910,3.839e-01
0.920,3.446e-01
0.930,3.011e-01
0.940,2.693e-01
0.950,1.942e-01
0.960,1.604e-01
0.970,1.208e-01
0.980,7.168e-02
0.990,1.503e-02
1.000,-3.611e-02
1.010,-9.052e-02
1.020,-1.446e-01
1.030,-1.779e-01
1.040,-2.279e-01
1.050,-2.582e-01
1.060,-2.875e-01
1.070,-3.218e-01
1.080,-3.232e-01
1.090,-3.368e-01
1.100,-3.484e-01
1.110,-3.323e-01
1.120,-3.262e-01
1.130,-3.385e-01
1.140,-3.032e-01
1.150,-2.571e-01
1.160,-2.453e-01
1.170,-2.031e-01
1.180,-1.508e-01
1.190,-1.110e-01
1.200,-6.473e-02
1.210,-1.827e-02
1.220,2.874e-02
1.230,7.037e-02
1.240,1.119e-01
1.250,1.654e-01
1.260,1.923e-01
1.270,2.462e-01
1.280,2.518e-01
1.290,2.875e-01
1.300,2.973e-01
1.310,3.100e-01
1.320,3.166e-01
1.330,3.064e-01
1.340,2.872e-01
1.350,2.961e-01
1.360,2.768e-01
1.370,2.367e-01
1.380,2.053e-01
1.390,1.854e-01
1.400,1.521e-01
1.410,1.102e-01
1.420,7.202e-02
1.430,3.005e-02
1.440,-1.141e-02
1.450,-5.517e-02
1.460,-9.050e-02
1.470,-1.242e-01
1.480,-1.643e-01
1.490,-2.009e-01
1.500,-2.137e-01
1.510,-2.358e-01
1.520,-2.649e-01
1.530,-2.713e-01
1.540,-2.650e-01
1.550,-2.627e-01
1.560,-2.625e-01
1.570,-2.474e-01
1.580,-2.306e-01
1.590,-2.240e-01
1.600,-1.936e-01
1.610,-1.624e-01
1.620,-1.307e-01
1.630,-1.086e-01
1.640,-6.726e-02
1.650,-3.023e-02
1.660,6.209e-03
1.670,4.366e-02
1.680,7.277e-02
1.690,1.150e-01
1.700,1.342e-01
1.710,1.625e-01
1.720,1.902e-01
1.730,2.025e-01
1.740,2.221e-01
1.750,2.284e-01
1.760,2.471e-01
1.770,2.289e-01
1.780,2.425e-01
1.790,2.302e-01
1.800,2.349e-01
1.810,2.053e-01
1.820,1.795e-01
1.830,1.575e-01
1.840,1.280e-01
1.850,1.029e-01
1.860,7.105e-02
1.870,3.738e-02
1.880,5.351e-03
1.890,-2.618e-02
1.900,-5.727e-02
1.910,-8.453e-02
1.920,-1.200e-01
1.930,-1.336e-01
1.940,-1.627e-01
1.950,-1.744e-01
1.960,-2.019e-01
1.970,-2.213e-01
1.980,-2.183e-01
1.990,-2.050e-01
2.000,-2.114e-01
2.010,-2.037e-01
2.020,-1.946e-01
2.030,-1.843e-01
2.040,-1.625e-01
2.050,-1.330e-01
2.060,-1.171e-01
2.070,-9.802e-02
2.080,-6.275e-02
2.090,-3.456e-02
2.100,-6.811e-03
2.110,2.143e-02
2.120,4.960e-02
2.130,7.438e-02
2.140,9.804e-02
2.150,1.212e-01
2.160,1.392e-01
2.170,1.652e-01
2.180,1.701e-01
2.190,1.813e-01
2.200,1.886e-01
2.210,1.928e-01
2.220,1.977e-01
2.230,1.927e-01
2.240,1.825e-01
2.250,1.627e-01
2.260,1.524e-01
2.270,1.270e-01
2.280,1.075e-01
2.290,8.846e-02
2.300,6.663e-02
2.310,4.023e-02
2.320,1.570e-02
2.330,-9.570e-03
2.340,-3.411e-02
2.350,-5.607e-02
2.360,-7.188e-02
2.370,-9.858e-02
2.380,-1.239e-01
2.390,-1.326e-01
2.400,-1.497e-01
2.410,-1.499e-01
2.420,-1.541e-01
